Change Physical Footprint: Designator=TVS10 Old Footprint=TVS New Footprint=TVS
Change Physical Footprint: Designator=TVS11 Old Footprint=TVS New Footprint=TVS
Change Physical Footprint: Designator=U1 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U2 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U3 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U4 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U5 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U6 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U7 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U8 Old Footprint=FP-11-4C1-MFG New Footprint=FP-11-4C1-MFG
Change Physical Footprint: Designator=U9 Old Footprint=DIP8_8601 New Footprint=DIP8_8601
Change Physical Footprint: Designator=U10 Old Footprint=DIP8_8601 New Footprint=DIP8_8601
Change Physical Footprint: Designator=U11 Old Footprint=SOP18 - 300mil New Footprint=SOP18 - 300mil
Change Physical Footprint: Designator=U12 Old Footprint=DIP8_8601 New Footprint=DIP8_8601
